Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Aruba;ABW;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.028493276;;;222.972.096;3.777.528.741;4.155.977.424;6.377.808.073;1.381.422.174;1.683.482.789;5.844.084.243;6.733.419.771;7.545.981.165;1.051.838.786;1.094.556.693;1.140.409.598;1.173.566.698;1.232.764.603;1.290.166.512;1.313.507.803;;1.322.077.719;1.349.144.635;1.348.533.699;1.352.427.175;;;;1.324.665.076;1.322.887.836;1323496283;;;
Africa Eastern and Southern;AFE;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00134257553672072;0.00258214265567223;0.00306012952109055;0.00582416440279694;0.0160281568745268;0.117720610098511;0.164300729636764;0.285421858668388;0.537893874347061;0.963135057510966;15.364.967.739.772;253.187.461.998.447;348.511.266.478.186;459.739.340.752.445;607.988.901.464.806;801.544.755.486.436;1.259.131.987.433;169.490.525.169.552;216.849.919.782.563;281.203.044.455.646;326.088.889.551.093;385.271.319.772.483;480.159.935.090.946;527.679.765.565.158;576.880.768.277.277;619.358.160.623.131;66.5;63.6;63.5;65.2;67.9;70.3;74.7;77.7;81.3;
Afghanistan;AFG;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.119046168;0.883192104;2.547.386.592;4.915.778.177;9.905.952.707;1.802.123.984;2.988.931.593;3.834.172.829;3.623.965.543;4.717.359.546;5.035.079.702;5.328.634.042;5.626.314.295;5.839.109.599;6.237.109.623;6.713.641.492;5.990.264.778;5.978.387.904;581.902.139;5655443457;;;
Africa Western and Central;AFW;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000405567623636312;0.00558115607144699;0.00959570091410311;0.0125531304913285;0.025856289147414;0.0465887994019213;0.0980257325747414;0.20622679893449;0.530892742687222;104.987.624.556.741;209.477.956.084.382;332.309.173.202.265;646.046.333.370.717;111.025.063.085.919;187.872.335.012.222;250.392.998.212.097;368.661.001.562.175;443.449.799.979.514;5.227.223.728.058;58.249.872.484.352;671.094.646.656.648;750.120.031.475.166;802.975.320.892.204;83.3;82.9;81.4;87.8;91.3;96.7;95;102.1;100.8;
Angola;AGO;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008436702;0.013549219;0.01433269;0.02292929;0.04742069;0.063903735;0.151221568;0.157410653;0.442697606;0.799262897;1.931.104.589;3.942.225.093;8.282.974.634;1.515.012.642;2.372.841.216;3.122.582.177;3.602.958.262;4.024.692.066;4.976.776.766;5.075.814.192;5.080.964.158;5.180.029.281;4.936.244.924;4.459.350.803;4.410.644.535;4.249.094.914;458.377.414;4.381.009.059;4442373173;6.737.347.427;;
Albania;ALB;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.070307774;0.101422403;0.173257946;0.343114336;0.936229188;1.245.080.244;2.724.463.279;3.556.428.066;4.112.783.099;5.045.923.775;6.359.103.905;7.803.664.144;6.300.230.139;8.407.120.051;9.241.340.015;1.068.724.501;1.210.154.371;12.767.458;1.164.887.372;1.179.871.153;1.169.622.462;1.259.205.273;9.436.446.759;9.151.642.864;9.135.050.062;9231992041;9.788.570.679;;
Andorra;AND;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.344.203.341;1.318.547.569;1.284.466.799;4.489.257.564;8.555.349.432;1.332.364.491;2.165.649.066;3.137.613.282;3.561.832.431;4.339.280.448;4.628.218.157;7.021.296.747;7.586.601.328;8.087.590.509;8.601.844.926;8.123.912.599;8.441.522.582;8.740.318.475;9.157.706.344;9.217.208.933;8.993.550.386;8.958.187.372;9.248.694.535;9.942.853.957;1.049.517.508;1.088.046.481;1.101.329.103;1.151.500.465;1.034.491.634;1186729762;1.422.141.211;;
Arab World;ARB;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0.00139135029448582;0.00206452793552855;0.00277542509376027;0.00454385232052265;0.011489686324028;0.0174495848946617;0.0198658484390306;0.0288731721004244;0.0391611129825038;0.0567169465116559;0.0642451336720986;0.0818781227277993;0.105305831302216;0.197651290165998;0.354623216561879;0.608151128959064;0.928146209147479;147.667.988.359.235;314.235.571.585.315;5.674.469.873.018;84.137.897.725.289;114.425.320.694.818;166.252.188.547.319;264.479.394.294.001;382.910.994.488.433;516.630.400.128.938;617.078.304.449.257;744.957.914.017.246;856.094.564.648.384;944.751.848.643.954;100.300.841.931.146;104.741.398.824.987;104.242.109.611.802;102.997.439.000.868;100.424.978.952.655;981.963.031.894.916;964.014.579.839.673;967.326.519.819.152;962.300.336.647.374;992339505781343;102.925.568.544.421;;
United Arab Emirates;ARE;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;;;;;;;;;;;;;;;;;;;;;;;0.199510899;0.287983245;0.377274558;0.574396029;0.761967402;0.870037547;0.820998752;1.392.200.196;1.767.122.718;214.142.422;2.311.609.649;3.174.853.055;3.928.169.053;5.298.629.246;7.534.161.116;1.126.583.053;1.688.654.733;2.686.844.465;4.360.213.145;5.527.485.686;6.682.174.472;7.794.350.145;9.223.151.353;1.059.133.477;1.126.626.827;1.316.533.802;1.338.983.849;1.335.212.478;1.288.176.608;1.367.594.244;1.589.763.381;1.835.446.297;1.903.476.162;201.219.729;221.308.772;2.186.322.987;219.700.673;212.804.439;1.978.438.703;1947336208;2.122.208.173;;
Argentina;ARG;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007150459;0.036767345;0.075515553;0.13879172;0.329148059;0.6992523;1.160.057.586;1.884.803.688;5.609.433.289;7.371.312.411;1.050.082.052;175.015.229;1.798.746.665;1.733.333.812;2.048.748.472;3.494.389.378;5.670.883.514;7.981.991.978;1.013.182.303;1.154.815.533;1.289.999.606;1.388.859.542;1.462.467.408;1.533.349.717;1.589.154.655;1.429.902.363;1.429.639.551;1.459.179.567;1.405.014.607;1.319.371.685;1.259.409.814;1.216.001.889;1304550081;1.323.578.095;;
Armenia;ARM;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.009093946;0.152838922;0.241656509;0.254551579;0.551865964;0.814009232;2.297.846.274;3.708.664.629;6.631.634.399;1.043.709.632;4.162.457.715;6.245.557.755;4.833.377.522;7.392.986.395;1.311.938.086;1.096.360.981;114.013.624;1.153.337.511;119.696.221;1.203.535.058;1.198.452.458;1.223.218.158;1.261.831.509;1.282.969.735;1.243.508.359;128961359;1.352.539.805;;
American Samoa;ASM;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;1.397.819.402;1.758.705.593;229.498.164;2.340.780.135;2.385.321.101;2.518.982.331;2.650.036.217;3.125.325.555;3.420.917.053;3.696.591.455;3.499.664.816;3.624.439.075;3.904.487.558;;;;;;;;;;;;;;;;;;;;
